NAPR,PERIOD,STRANA,TNVED,EDIZM,STOIM,NETTO,KOL
ЭК,10/2015,BY,85,,8281.46,208,0
ЭК,11/2015,BY,85,,4990.24,84,0
ЭК,12/2015,AB,22,,3637.62,4816.8,0
ЭК,10/2015,UA,22,,8749.29,43009.31,0
ЭК,10/2015,AB,21,,1592.05,1162,0
ЭК,12/2015,KZ,11,,10824.36,19595.52,0
ИМ,12/2015,DE,29,,4680.27,2016.91,0
ЭК,11/2015,AB,04,,173223.91,162151,0
ИМ,10/2015,BY,83,,57550.04,20439,0
ИМ,11/2015,FI,90,,50157.63,826.1,0
ЭК,12/2015,UA,73,,7410.53,4189,0
ИМ,12/2015,DE,35,,93096.99,40343.48,0
ЭК,10/2015,NL,38,,150214.58,274500,0
ИМ,10/2015,CN,44,,556607.77,1399185,0
ИМ,10/2015,PK,10,,71,0.95,0
ЭК,11/2015,IL,44,,4078.44,21349,0
ЭК,11/2015,AE,44,,15935.75,43345,0
ЭК,10/2015,GE,44,,11840.9,15797.57,0
ЭК,11/2015,DE,44,,1361.73,21581,0
ЭК,11/2015,CN,44,,68760.18,380780,0
ЭК,12/2015,CN,44,,121149.32,798902,0
ИМ,12/2015,DE,34,,10468.57,2883.46,0
ИМ,10/2015,VN,72,,72032.1,68602,0
ИМ,11/2015,TR,32,,14915.4,5648.88,0
ИМ,12/2015,AR,23,,181450.5,345620,0
ЭК,12/2015,IL,76,,35890.68,11742.54,0
ИМ,12/2015,RS,06,,190437.73,43700,0
ИМ,11/2015,PL,06,,765510.58,99203,0
ИМ,11/2015,UA,94,,6775.4,2792.64,0
ИМ,10/2015,TR,08,,179475.87,1e5,0
ИМ,12/2015,CA,40,,19.86,0.08,0
ЭК,11/2015,UA,20,,8956.81,24995.48,0
ЭК,10/2015,IL,20,,5280,3194.4,0
ЭК,11/2015,KG,15,,335770.66,300614.61,0
ЭК,10/2015,AB,15,,19251.11,18149.43,0
ЭК,11/2015,AM,15,,67023.46,62724,0
ЭК,10/2015,AM,15,,41370.32,38388,0
ИМ,10/2015,BY,84,,84009.46,80264.1,0
ИМ,12/2015,UA,84,,23980.06,2227,0
ИМ,11/2015,DE,84,,24818.72,493,0
ЭК,11/2015,KZ,84,,43200,5945,0
ИМ,10/2015,BY,39,,74.34,13.52,0
ИМ,12/2015,US,39,,1448.42,0.33,0
ЭК,11/2015,DE,33,,627443.94,12380,0
ИМ,11/2015,BY,33,,23724.68,2090.7,0
ЭК,11/2015,KZ,85,,17994.01,327,0
ЭК,12/2015,BY,85,,9503.58,385,0
ЭК,10/2015,KZ,85,,5280.92,126,0
ИМ,11/2015,TR,82,,36,27,0
ИМ,11/2015,IT,63,,181.97,21,0
ЭК,10/2015,GE,48,,3915.34,3350,0
ЭК,12/2015,AB,48,,15562.49,27250,0
ИМ,10/2015,IN,48,,120,12,0
ЭК,10/2015,AM,48,,8524.47,19140,0
ЭК,12/2015,DE,21,,1072.45,2422.5,0
ИМ,10/2015,ES,22,,26083.25,48320,0
ИМ,11/2015,UA,83,,196235.03,74012.4,0
ИМ,11/2015,CN,73,,37920.74,22572.92,0
ИМ,11/2015,IT,73,,5358.83,1421.09,0
ЭК,11/2015,AM,38,,465.53,1003.2,0
ЭК,10/2015,UA,38,,2372.46,3776.55,0
ИМ,12/2015,CN,44,,520614.49,1313841.9,0
ЭК,10/2015,LT,44,,6296.1,66e3,0
ИМ,12/2015,TR,96,,419.62,64.15,0
ЭК,12/2015,UA,34,,13164.2,23587.83,0
ЭК,11/2015,AM,34,,2197.15,3287.7,0
ЭК,12/2015,AB,34,,2179.03,3942.12,0
ЭК,12/2015,DE,72,,43061.04,6e4,0
ИМ,11/2015,NL,72,,152020.17,146438,0
ИМ,11/2015,DE,72,,299738.04,319897,0
ЭК,11/2015,NL,72,,52904.73,6e4,0
ИМ,11/2015,FI,68,,1009.25,36,0
ЭК,12/2015,UA,68,,510.4,9.28,0
ЭК,11/2015,UA,18,,3891.17,1672.5,0
ЭК,12/2015,UA,32,,1468.2,505.2,0
ЭК,11/2015,UA,32,,69.66,89.2,0
ИМ,11/2015,RS,06,,69594.16,12897,0
ИМ,10/2015,NL,06,,101759.25,38992,0
ИМ,12/2015,CN,69,,318211.31,937941.2,0
ЭК,12/2015,UA,20,,16594.07,55802.44,0
ИМ,11/2015,DE,87,,8660.4,3120,0
ЭК,12/2015,BY,15,,74283.44,76740,0
ИМ,11/2015,BY,84,,66580.92,60970.35,0
ИМ,11/2015,UA,84,,28882.12,21364,0
ИМ,11/2015,ES,84,,41773.2,21320,0
